dataset,model,rmse,rank
pol,CrossValidatedRidgeEquationV1,0.708441,43
pol,SplitSparseLinearSimulatorV1,0.956815,68
pol,CalibratedSparseSingleIndexV1,0.954377,67
pol,SparseSplineBackboneV1,0.708527,46
pol,StabilityCalibratedLinearMapV1,0.822472,63
pol,SparseLatentSplineRidgeV1,0.604784,22
pol,StabilityMassRidgeEquationV2,0.708313,42
kin8nm,PyGAM,0.804420,15
kin8nm,DT_mini,0.877689,68
kin8nm,DT_large,0.890079,70
kin8nm,OLS,0.811674,29
kin8nm,LassoCV,0.811735,35
kin8nm,RidgeCV,0.811697,34
kin8nm,RF,0.781796,7
kin8nm,GBM,0.755496,4
kin8nm,MLP,0.491650,2
kin8nm,FIGS_mini,0.849805,63
kin8nm,FIGS_large,0.802428,12
kin8nm,RuleFit,0.870177,64
kin8nm,HSTree_mini,0.874538,66
kin8nm,HSTree_large,0.870956,65
kin8nm,EBM,0.715820,3
kin8nm,TabPFN,0.376809,1
kin8nm,DecisionTreeSimple,0.880616,69
kin8nm,SparseBasisPursuitV1,0.788396,9
kin8nm,GreedyKnotAdditiveV1,0.839440,61
kin8nm,SparseSymbolicAdditiveV2,0.815992,52
kin8nm,ResidualRuleLinearV1,0.806689,19
kin8nm,SparseHingeInteractionV1,0.790681,10
kin8nm,RawSymbolicFSV1,0.810041,25
kin8nm,OrthoSymbolicV1,0.804314,13
kin8nm,OrthoSymbolicV2,0.804314,14
kin8nm,KnotSparseAdditiveV1,0.810137,26
kin8nm,SparseLinearRuleGateV1,0.808224,21
kin8nm,GlobalRidgeOneHingeV1,0.809194,22
kin8nm,StabilitySparseHingeV1,0.811682,32
kin8nm,SparseAdditiveInteractionV1,0.805967,18
kin8nm,StabilityPiecewiseSparseV1,0.809939,24
kin8nm,GCVSparseHingeRidgeV1,0.820434,55
kin8nm,BiRegionSparseLinearV1,0.809503,23
kin8nm,QuantizedSparseRidgeV1,0.811356,27
kin8nm,AdaptiveRidgeOneHingeV1,0.811549,28
kin8nm,RobustSparseRidgeIRLSV1,0.825438,57
kin8nm,DenseRidgeResidualBasisV1,0.788313,8
kin8nm,GreedyAdditiveSplineV1,0.811848,37
kin8nm,CalibratedSparseRidgeMapV1,0.811871,39
kin8nm,AdaptiveElasticHingeMapV1,0.815927,51
kin8nm,SparseSingleIndexSplineV1,0.812729,49
kin8nm,SplitCalibratedSparseLinearV1,0.811891,41
kin8nm,AdaptiveWeightedRidgeSparseV1,0.818321,54
kin8nm,SparseSymbolicAtlasV1,0.808066,20
kin8nm,ResidualizedHingeRidgeV2,0.804563,16
kin8nm,StagewiseSymbolicV1,0.770506,5
kin8nm,ResidualTreeSparseLinearV1,0.811674,30
kin8nm,RiskCalibratedSparseRidgeV1,0.811674,31
kin8nm,SVDGCVRidgeMapV1,0.811901,42
kin8nm,RobustAdaptiveLinearMapV1,0.811878,40
kin8nm,SparseAdditiveBasisPursuitV1,0.875807,67
kin8nm,RidgeOneHingeResidualV1,0.811901,43
kin8nm,StabilityRuleListRidgeV1,0.811901,44
