dataset,model,rmse,rank
pmlb/215_2dplanes,DT_mini,0.426038,12
pmlb/215_2dplanes,DT_large,0.293198,9
pmlb/215_2dplanes,OLS,0.535259,15
pmlb/215_2dplanes,LassoCV,0.535068,14
pmlb/215_2dplanes,RidgeCV,0.535296,16
pmlb/215_2dplanes,RF,0.250394,7
pmlb/215_2dplanes,GBM,0.235261,2
pmlb/215_2dplanes,MLP,0.243816,6
pmlb/215_2dplanes,FIGS_mini,0.397537,11
pmlb/215_2dplanes,FIGS_large,0.243363,5
pmlb/215_2dplanes,RuleFit,0.262276,8
pmlb/215_2dplanes,HSTree_mini,0.426049,13
pmlb/215_2dplanes,HSTree_large,0.293207,10
pmlb/215_2dplanes,EBM,0.236124,4
pmlb/215_2dplanes,TabPFN,0.230708,1
pmlb/215_2dplanes,HingeEBM_7bag,0.236018,3
pmlb/218_house_8L,PyGAM,0.697595,5
pmlb/218_house_8L,DT_mini,0.762756,8
pmlb/218_house_8L,DT_large,0.786732,13
pmlb/218_house_8L,OLS,1.089536,16
pmlb/218_house_8L,LassoCV,1.087215,15
pmlb/218_house_8L,RidgeCV,0.854787,14
pmlb/218_house_8L,RF,0.704566,6
pmlb/218_house_8L,GBM,0.690860,3
pmlb/218_house_8L,MLP,1.410088,17
pmlb/218_house_8L,FIGS_mini,0.785629,12
pmlb/218_house_8L,FIGS_large,0.784108,10
pmlb/218_house_8L,RuleFit,0.784780,11
pmlb/218_house_8L,HSTree_mini,0.770780,9
pmlb/218_house_8L,HSTree_large,0.751358,7
pmlb/218_house_8L,EBM,0.695569,4
pmlb/218_house_8L,TabPFN,0.644881,1
pmlb/218_house_8L,HingeEBM_7bag,0.679564,2
pmlb/225_puma8NH,PyGAM,0.752715,14
pmlb/225_puma8NH,DT_mini,0.713115,13
pmlb/225_puma8NH,DT_large,0.671396,10
pmlb/225_puma8NH,OLS,0.781513,17
pmlb/225_puma8NH,LassoCV,0.781055,15
pmlb/225_puma8NH,RidgeCV,0.781400,16
pmlb/225_puma8NH,RF,0.617547,3
pmlb/225_puma8NH,GBM,0.618783,5
pmlb/225_puma8NH,MLP,0.617553,4
pmlb/225_puma8NH,FIGS_mini,0.695208,11
pmlb/225_puma8NH,FIGS_large,0.670046,9
pmlb/225_puma8NH,RuleFit,0.666590,8
pmlb/225_puma8NH,HSTree_mini,0.710840,12
pmlb/225_puma8NH,HSTree_large,0.659796,7
pmlb/225_puma8NH,EBM,0.622858,6
pmlb/225_puma8NH,TabPFN,0.575640,1
pmlb/225_puma8NH,HingeEBM_7bag,0.616341,2
pmlb/227_cpu_small,PyGAM,0.204787,5
pmlb/227_cpu_small,DT_mini,0.285635,12
pmlb/227_cpu_small,DT_large,0.244801,9
pmlb/227_cpu_small,OLS,0.611171,15
pmlb/227_cpu_small,LassoCV,0.742457,16
pmlb/227_cpu_small,RidgeCV,0.562913,14
pmlb/227_cpu_small,RF,0.218315,6
pmlb/227_cpu_small,GBM,0.187871,3
pmlb/227_cpu_small,MLP,724.021529,17
pmlb/227_cpu_small,FIGS_mini,0.251926,10
pmlb/227_cpu_small,FIGS_large,0.221763,7
pmlb/227_cpu_small,RuleFit,0.344653,13
pmlb/227_cpu_small,HSTree_mini,0.284538,11
pmlb/227_cpu_small,HSTree_large,0.243118,8
pmlb/227_cpu_small,EBM,0.192590,4
pmlb/227_cpu_small,TabPFN,0.168318,1
pmlb/227_cpu_small,HingeEBM_7bag,0.181230,2
pmlb/228_elusage,PyGAM,0.478782,11
pmlb/228_elusage,DT_mini,0.471935,9
pmlb/228_elusage,DT_large,0.426362,3
pmlb/228_elusage,OLS,0.511401,15
pmlb/228_elusage,LassoCV,0.480834,12
pmlb/228_elusage,RidgeCV,0.510593,14
pmlb/228_elusage,RF,0.425804,1
pmlb/228_elusage,GBM,0.436995,4
pmlb/228_elusage,MLP,1.207429,17
pmlb/228_elusage,FIGS_mini,0.458839,6
pmlb/228_elusage,FIGS_large,0.484808,13
pmlb/228_elusage,RuleFit,0.468865,8
pmlb/228_elusage,HSTree_mini,0.471935,10
pmlb/228_elusage,HSTree_large,0.425812,2
pmlb/228_elusage,EBM,0.528872,16
pmlb/228_elusage,TabPFN,0.464497,7
pmlb/228_elusage,HingeEBM_7bag,0.448319,5
pmlb/229_pwLinear,PyGAM,0.402434,11
pmlb/229_pwLinear,DT_mini,0.485672,17
pmlb/229_pwLinear,DT_large,0.483902,16
pmlb/229_pwLinear,OLS,0.397349,8
pmlb/229_pwLinear,LassoCV,0.390045,6
pmlb/229_pwLinear,RidgeCV,0.394616,7
pmlb/229_pwLinear,RF,0.374468,4
pmlb/229_pwLinear,GBM,0.354602,3
pmlb/229_pwLinear,MLP,0.400872,9
pmlb/229_pwLinear,FIGS_mini,0.401258,10
pmlb/229_pwLinear,FIGS_large,0.428879,13
pmlb/229_pwLinear,RuleFit,0.327694,2
pmlb/229_pwLinear,HSTree_mini,0.481541,15
pmlb/229_pwLinear,HSTree_large,0.469100,14
pmlb/229_pwLinear,EBM,0.405762,12
pmlb/229_pwLinear,TabPFN,0.312971,1
pmlb/229_pwLinear,HingeEBM_7bag,0.386840,5
pmlb/230_machine_cpu,PyGAM,0.332015,2
pmlb/230_machine_cpu,DT_mini,0.808921,14
pmlb/230_machine_cpu,DT_large,0.670488,10
pmlb/230_machine_cpu,OLS,0.541310,5
pmlb/230_machine_cpu,LassoCV,0.628794,9
pmlb/230_machine_cpu,RidgeCV,0.541304,4
pmlb/230_machine_cpu,RF,0.569563,6
pmlb/230_machine_cpu,GBM,0.577137,7
pmlb/230_machine_cpu,MLP,113.095662,17
pmlb/230_machine_cpu,FIGS_mini,0.804404,13
pmlb/230_machine_cpu,FIGS_large,0.721489,12
pmlb/230_machine_cpu,RuleFit,0.611748,8
pmlb/230_machine_cpu,HSTree_mini,0.808921,15
pmlb/230_machine_cpu,HSTree_large,0.679851,11
pmlb/230_machine_cpu,EBM,0.537511,3
pmlb/230_machine_cpu,TabPFN,1.561240,16
pmlb/230_machine_cpu,HingeEBM_7bag,0.234228,1
pmlb/294_satellite_image,PyGAM,0.443186,6
pmlb/294_satellite_image,DT_mini,0.527527,12
pmlb/294_satellite_image,DT_large,0.490853,9
pmlb/294_satellite_image,OLS,0.557316,15
pmlb/294_satellite_image,LassoCV,0.551906,13
pmlb/294_satellite_image,RidgeCV,0.557292,14
pmlb/294_satellite_image,RF,0.393493,4
pmlb/294_satellite_image,GBM,0.409630,5
pmlb/294_satellite_image,MLP,1.342500,17
pmlb/294_satellite_image,FIGS_mini,0.520949,10
pmlb/294_satellite_image,FIGS_large,0.485593,7
pmlb/294_satellite_image,RuleFit,0.630976,16
pmlb/294_satellite_image,HSTree_mini,0.525870,11
pmlb/294_satellite_image,HSTree_large,0.489967,8
pmlb/294_satellite_image,EBM,0.387879,2
pmlb/294_satellite_image,TabPFN,0.321822,1
pmlb/294_satellite_image,HingeEBM_7bag,0.391771,3
pmlb/344_mv,PyGAM,0.432789,13
pmlb/344_mv,DT_mini,0.289504,12
pmlb/344_mv,DT_large,0.161048,7
pmlb/344_mv,OLS,0.434862,14
pmlb/344_mv,LassoCV,0.435607,16
pmlb/344_mv,RidgeCV,0.434865,15
pmlb/344_mv,RF,0.105879,6
pmlb/344_mv,GBM,0.052105,3
pmlb/344_mv,MLP,0.503838,17
pmlb/344_mv,FIGS_mini,0.202336,9
pmlb/344_mv,FIGS_large,0.095683,5
pmlb/344_mv,RuleFit,0.283315,10
pmlb/344_mv,HSTree_mini,0.289330,11
pmlb/344_mv,HSTree_large,0.161052,8
pmlb/344_mv,EBM,0.054197,4
pmlb/344_mv,TabPFN,0.003208,1
pmlb/344_mv,HingeEBM_7bag,0.037603,2
pmlb/4544_GeographicalOriginalofMusic,PyGAM,0.656222,9
pmlb/4544_GeographicalOriginalofMusic,DT_mini,0.760770,14
pmlb/4544_GeographicalOriginalofMusic,DT_large,0.766547,15
pmlb/4544_GeographicalOriginalofMusic,OLS,0.622808,4
pmlb/4544_GeographicalOriginalofMusic,LassoCV,0.623070,5
