dataset,model,rmse,rank
elevators,QuantizedAdaptiveRidge_v1,,
elevators,QuantizedAdaptiveRidge_v2,0.698011,28
elevators,DenseRidgeOneKnot_v1,,
elevators,DenseRidgeOneKnot_v2,0.402208,7
elevators,LinearStepRule_v1,0.415649,10
elevators,TwinHingeAdditiveRidge_v1,0.780038,48
elevators,AdditiveStepRidge_v1,0.418627,11
elevators,ScoreSplineLinear_v1,0.429422,17
elevators,AdaptiveStepLinear_v1,0.425413,15
elevators,DebiasedSparseLinear_v1,0.429952,21
elevators,SpectralRidgeCV_v1,0.429422,18
elevators,ResidualStumpRidge_v1,0.421260,14
elevators,SingleIndexSpline_v1,0.419450,12
elevators,SingleIndexSpline_v2,0.419450,13
elevators,GreedyMedianHinge_v1,0.775290,47
elevators,RobustAdaptiveLinear_v1,0.429645,20
elevators,SparseAdditiveHingeRidge_v1,0.744221,35
elevators,LinearBoostedRules_v1,1.320226,57
elevators,SparseMeanHingeAdditive_v1,2.390983,59
elevators,SplitLinearModelTree_v1,0.766174,42
elevators,OrthogonalRidgeEquation_v1,0.429422,19
elevators,SparseAdaptiveSplineRidge_v1,0.412688,9
elevators,SparseLinearRuleBoost_v1,0.658585,24
pol,PyGAM,0.549154,15
pol,DT_mini,0.362666,11
pol,DT_large,0.338574,7
pol,OLS,0.709816,47
pol,LassoCV,0.710064,48
pol,RidgeCV,0.709213,46
pol,RF,0.274415,2
pol,GBM,0.299494,3
pol,MLP,0.724552,50
pol,FIGS_mini,0.356437,10
pol,FIGS_large,0.323908,5
pol,RuleFit,0.312670,4
pol,HSTree_mini,0.349503,8
pol,HSTree_large,0.325280,6
pol,EBM,0.350952,9
pol,TabPFN,0.141046,1
pol,DecisionTreeSimple,0.395853,12
pol,SparseHingeAdd_v1,0.604430,23
pol,SparseSymbolicGreedy_v1,0.835002,53
pol,AnchorSplineOMP_v1,0.681898,36
pol,ResidualKnotRidge_v1,0.576495,19
pol,SplitSparseLinear_v1,0.567650,18
pol,SparseKnotLinear_v2,0.840389,55
pol,CompactResidualSpline_v1,0.840455,56
