dataset,model,rmse,rank
pol,RidgeGarroteStable_v1,0.709548,47
pol,AdaptiveSplineRidge_v1,0.545583,15
pol,SparseQuantileGAM_v1,0.612119,26
pol,ResidualRuleRidgeHybrid_v1,0.628233,28
pol,SparseSmoothBackfit_v1,0.827375,63
pol,BasisSwitchRidge_v1,0.607344,24
pol,HuberRidgeIRLS_v1,0.697921,41
pol,ResidualTanhRidge_v1,0.695289,40
pol,SparseResidualQuadRidge_v1,0.663204,36
pol,ComplexityDistilledRidge_v1,0.708918,44
pol,SparseTailSplineRidge_v1,0.605318,23
pol,AdaptiveWeightedGCVRidge_v1,0.708865,43
pol,CompactResidualHingeAdd_v1,0.541669,14
pol,TriRegionGateSparse_v1,0.583881,20
pol,SignalWeightedTrimmedRidge_v1,0.701514,42
pol,SparseKnotAdditive_v1,0.540539,13
pol,BoostedBinPair_v1,,
pol,BoostedBinPair_v2,0.647770,33
kin8nm,PyGAM,0.804420,18
kin8nm,DT_mini,0.877689,64
kin8nm,DT_large,0.890079,67
kin8nm,OLS,0.811674,29
kin8nm,LassoCV,0.811735,32
kin8nm,RidgeCV,0.811697,30
kin8nm,RF,0.781796,6
kin8nm,GBM,0.755496,4
kin8nm,MLP,0.491650,2
kin8nm,FIGS_mini,0.849805,59
kin8nm,FIGS_large,0.802428,14
kin8nm,RuleFit,0.870177,61
kin8nm,HSTree_mini,0.874538,63
kin8nm,HSTree_large,0.870956,62
kin8nm,EBM,0.715820,3
kin8nm,TabPFN,0.376809,1
kin8nm,DecisionTreeSimple,0.880616,65
kin8nm,SparseAddHinge_v1,0.808655,25
kin8nm,ResidualRuleLin_v1,0.803816,17
kin8nm,SparseSymAdd_v2,0.828577,53
kin8nm,StagewisePiece_v1,0.809814,26
kin8nm,SparseRootLin_v1,0.811702,31
kin8nm,SparseTailHinge_v1,,
kin8nm,SparseTailHinge_v2,0.825317,49
kin8nm,MonoBinAdd_v1,0.833930,54
kin8nm,OrthoPieceAdd_v1,0.802802,15
kin8nm,SparseHierInter_v1,0.791352,8
kin8nm,SparseOrthoPoly_v1,0.836029,55
kin8nm,GateLinTree_v1,0.779312,5
kin8nm,AdaptiveCalSparse_v1,0.813901,44
kin8nm,ResQuantRule_v1,0.885964,66
kin8nm,SparseCalHinge_v1,0.819961,48
kin8nm,QuantSparseSymbolic_v1,0.817201,46
kin8nm,SparseBackfitBins_v1,0.828020,52
kin8nm,HingeSplineRule_v1,0.840192,57
kin8nm,SparseResidInter_v1,0.813193,43
kin8nm,SparsePwAnchor_v1,0.826642,51
kin8nm,SparseGateResid_v1,0.818112,47
kin8nm,FeatMapInter_v1,0.791231,7
kin8nm,DistillSparseRidge_v1,0.811339,28
kin8nm,PrunedSymRidge_v1,0.810485,27
kin8nm,GreedyHingeEq_v1,0.806511,22
kin8nm,SparseBinShape_v1,0.812306,40
kin8nm,HybridRidgeHinge_v1,0.806779,23
kin8nm,StableSparseLOORidge_v1,0.811845,34
kin8nm,SpectralPruneRidge_v1,0.812044,39
kin8nm,DualMapStabilityRidge_v1,0.816109,45
kin8nm,SparseMedianHinge_v1,0.825874,50
kin8nm,ResidualSnapSpline_v1,0.803676,16
kin8nm,BaggedMedianStableRidge_v1,0.837116,56
kin8nm,StabWeightRidge_v1,0.811875,35
kin8nm,RidgeGarroteStable_v1,0.811737,33
kin8nm,AdaptiveSplineRidge_v1,0.806206,20
kin8nm,SparseQuantileGAM_v1,0.798288,10
kin8nm,ResidualRuleRidgeHybrid_v1,0.807507,24
kin8nm,SparseSmoothBackfit_v1,0.843069,58
kin8nm,BasisSwitchRidge_v1,0.796248,9
kin8nm,HuberRidgeIRLS_v1,0.812389,41
kin8nm,ResidualTanhRidge_v1,0.811895,37
kin8nm,SparseResidualQuadRidge_v1,0.798860,11
kin8nm,ComplexityDistilledRidge_v1,0.811884,36
kin8nm,SparseTailSplineRidge_v1,0.799223,13
kin8nm,AdaptiveWeightedGCVRidge_v1,0.812878,42
kin8nm,CompactResidualHingeAdd_v1,0.798866,12
kin8nm,TriRegionGateSparse_v1,0.806443,21
kin8nm,SignalWeightedTrimmedRidge_v1,0.812030,38
kin8nm,SparseKnotAdditive_v1,0.805361,19
kin8nm,BoostedBinPair_v1,,
kin8nm,BoostedBinPair_v2,0.862813,60
pmlb/1027_ESL,PyGAM,0.374026,45
pmlb/1027_ESL,DT_mini,0.576479,65
pmlb/1027_ESL,DT_large,0.529210,60
pmlb/1027_ESL,OLS,0.361241,11
pmlb/1027_ESL,LassoCV,0.361351,15
pmlb/1027_ESL,RidgeCV,0.361933,20
pmlb/1027_ESL,RF,0.463850,58
pmlb/1027_ESL,GBM,0.380681,54
pmlb/1027_ESL,MLP,0.370737,39
pmlb/1027_ESL,FIGS_mini,0.539162,61
pmlb/1027_ESL,FIGS_large,0.437071,57
pmlb/1027_ESL,RuleFit,0.366258,33
pmlb/1027_ESL,HSTree_mini,0.575679,64
pmlb/1027_ESL,HSTree_large,0.519495,59
pmlb/1027_ESL,EBM,0.364431,30
pmlb/1027_ESL,TabPFN,0.373296,44
pmlb/1027_ESL,DecisionTreeSimple,0.562239,63
pmlb/1027_ESL,SparseAddHinge_v1,0.375593,49
pmlb/1027_ESL,ResidualRuleLin_v1,0.370562,38
pmlb/1027_ESL,SparseSymAdd_v2,0.353478,5
pmlb/1027_ESL,StagewisePiece_v1,0.359157,8
pmlb/1027_ESL,SparseRootLin_v1,0.352545,3
pmlb/1027_ESL,SparseTailHinge_v1,,
pmlb/1027_ESL,SparseTailHinge_v2,0.361241,12
pmlb/1027_ESL,MonoBinAdd_v1,0.422348,56
pmlb/1027_ESL,OrthoPieceAdd_v1,0.374447,46
pmlb/1027_ESL,SparseHierInter_v1,0.362548,27
pmlb/1027_ESL,SparseOrthoPoly_v1,1.049918,67
pmlb/1027_ESL,GateLinTree_v1,0.366094,32
pmlb/1027_ESL,AdaptiveCalSparse_v1,0.361776,18
pmlb/1027_ESL,ResQuantRule_v1,0.599045,66
pmlb/1027_ESL,SparseCalHinge_v1,0.368917,36
pmlb/1027_ESL,QuantSparseSymbolic_v1,0.362822,28
pmlb/1027_ESL,SparseBackfitBins_v1,0.378426,53
pmlb/1027_ESL,HingeSplineRule_v1,0.356599,6
pmlb/1027_ESL,SparseResidInter_v1,0.348584,1
pmlb/1027_ESL,SparsePwAnchor_v1,0.378263,52
pmlb/1027_ESL,SparseGateResid_v1,0.375504,48
pmlb/1027_ESL,FeatMapInter_v1,0.352802,4
pmlb/1027_ESL,DistillSparseRidge_v1,0.363804,29
pmlb/1027_ESL,PrunedSymRidge_v1,0.350468,2
pmlb/1027_ESL,GreedyHingeEq_v1,0.360424,10
